latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,bright_t31,frp,type
-77.528114,167.164093,335.6,0.42,0.45,2012-04-10,1319,N,n,234.63,4.27,2
-77.528,167.168121,321.07,0.42,0.38,2012-04-12,420,N,n,234.7,2.48,2
-77.525391,167.169525,326.14,0.41,0.37,2012-04-12,600,N,n,237.14,2.56,2
-77.524597,167.161331,322.71,0.47,0.4,2012-04-12,920,N,n,234.54,2.44,2
-77.527466,167.15921,327.91,0.39,0.36,2012-04-12,1100,N,n,237.28,3.53,2
-77.525246,167.17131,324.04,0.39,0.36,2012-04-12,1100,N,n,234.9,2.21,2
-77.525269,167.166748,324.47,0.45,0.39,2012-04-13,401,N,n,236.55,6.77,2
-77.526436,167.1577,325.45,0.39,0.37,2012-04-13,541,N,n,234.55,2.14,2
-77.528534,167.170395,325.3,0.39,0.37,2012-04-13,541,N,n,240.48,3.61,2
-77.527573,167.173157,324.86,0.48,0.4,2012-04-13,721,N,n,237.51,2.96,2
-77.527557,167.161423,324.15,0.48,0.4,2012-04-13,901,N,n,236.93,5.26,2
-77.526932,167.170166,324.96,0.4,0.37,2012-04-13,1041,N,n,237.14,2.89,2
-77.528908,167.171494,323.37,0.44,0.38,2012-04-13,1222,N,n,237.17,1.67,2
-77.527588,167.157867,339.81,0.51,0.41,2012-04-14,342,N,n,237.35,7.41,2
-77.529106,167.166153,323.06,0.39,0.36,2012-04-14,522,N,n,237.63,7.64,2
-77.525383,167.165054,330.55,0.49,0.41,2012-04-14,843,N,n,238.06,7.5,2
-77.527588,167.164062,326.22,0.41,0.37,2012-04-14,1023,N,n,237.74,4.55,2
-77.527794,167.161545,330.98,0.39,0.36,2012-04-16,445,N,n,236.91,2.52,2
-77.526421,167.164978,337.54,0.38,0.36,2012-04-16,1125,N,n,237.77,5.4,2
-77.527519,167.158829,329.13,0.41,0.37,2012-04-17,426,N,n,233.59,2.4,2
-77.526031,167.171906,320.97,0.4,0.37,2012-04-18,548,N,n,235.06,2.08,2
-77.52507,167.163284,327.22,0.39,0.37,2012-04-18,1048,N,n,238.76,5.72,2
-77.525894,167.160645,323.38,0.45,0.39,2012-04-18,1228,N,n,233.23,2.65,2
-77.525642,167.161377,327.87,0.43,0.38,2012-04-20,1010,N,n,237.34,3.81,2
-77.528778,167.169876,324.11,0.4,0.37,2012-04-20,1150,N,n,234.19,6.67,2
-77.528183,167.158508,324.01,0.39,0.36,2012-04-21,451,N,n,235.69,1.54,2
-77.52739,167.162521,331.65,0.4,0.37,2012-04-22,432,N,n,236.16,4.97,2
-77.5243,167.165573,324.54,0.42,0.38,2012-04-22,613,N,n,234.4,2.48,2
-77.527527,167.169556,329.09,0.42,0.38,2012-04-22,613,N,n,237.44,2.74,2
-77.523727,167.166031,320.6,0.46,0.39,2012-04-22,933,N,n,234.15,3.07,2
-77.525642,167.168945,329.13,0.38,0.36,2012-04-22,1113,N,n,239.64,7.03,2
-77.528099,167.173935,326.43,0.53,0.42,2012-04-22,1253,N,n,236.94,4.48,2
-77.525726,167.163864,329.29,0.39,0.36,2012-04-26,457,N,n,233.73,4.5,2
-77.528305,167.174225,325.84,0.39,0.36,2012-04-26,457,N,n,232.64,3.03,2
-77.5243,167.168121,325.18,0.5,0.41,2012-04-26,818,N,n,236.49,4.06,2
-77.528,167.1633,326.01,0.39,0.36,2012-04-26,1138,N,n,237.25,4.55,2
-77.527382,167.16951,342.57,0.42,0.45,2012-04-26,1319,N,n,238.46,6.08,2
-77.527596,167.162231,329.45,0.4,0.37,2012-04-27,438,N,n,238.83,3.07,2
-77.527489,167.172501,325.17,0.4,0.37,2012-04-27,438,N,n,236.47,3.21,2
-77.526176,167.164215,327.01,0.41,0.37,2012-04-28,600,N,n,240.94,3.22,2
-77.525772,167.167908,323.71,0.49,0.4,2012-04-28,740,N,n,240.12,3.23,2
-77.525948,167.169235,326.28,0.47,0.4,2012-04-28,920,N,n,238.07,3.16,2
-77.526711,167.159714,332.58,0.39,0.36,2012-04-28,1100,N,n,241.18,5.5,2
-77.528168,167.165482,327.56,0.49,0.4,2012-04-28,1241,N,n,239.07,4.19,2
-71.906227,107.501373,349.37,0.37,0.58,2012-04-28,1243,N,n,205.81,0,0
-77.52861,167.179794,336.27,0.35,0.57,2012-04-28,1422,N,n,237.91,2.93,2
-77.528381,167.163864,322.75,0.45,0.39,2012-04-29,401,N,n,237.28,2.67,2
-77.524734,167.16954,324,0.39,0.37,2012-04-29,541,N,n,235.2,4.6,2
-77.524132,167.173996,325.03,0.48,0.4,2012-04-29,721,N,n,236.63,7.07,2
-77.524567,167.161865,326.68,0.48,0.4,2012-04-29,901,N,n,238.01,3.64,2
-77.524559,167.165054,325.73,0.48,0.4,2012-04-29,901,N,n,238.28,3.69,2
-77.526398,167.167786,330.89,0.4,0.37,2012-04-29,1041,N,n,237.21,3.39,2
-77.525917,167.173721,336.44,0.44,0.38,2012-04-29,1222,N,n,237.42,6.43,2
-77.527298,167.184784,324.99,0.6,0.53,2012-04-29,1403,N,n,237.81,5.81,2
-77.526749,167.161041,326.38,0.51,0.41,2012-04-30,342,N,n,234.88,4.77,2
-77.528358,167.166794,326.7,0.39,0.36,2012-04-30,522,N,n,237.12,3.16,2
-77.52607,167.164413,325.42,0.51,0.5,2012-04-30,1344,N,n,233.08,3.06,2
-77.527336,167.171082,341.53,0.38,0.36,2012-05-01,503,N,n,242.23,11.15,2
-77.526093,167.162888,331.83,0.45,0.39,2012-05-01,644,N,n,233.78,5.58,2
-77.760017,6.51418,324.4,0.5,0.49,2012-05-01,1332,N,n,233.22,0.03,0
-78.863853,115.30471,323.93,0.41,0.37,2012-05-07,814,N,n,213.32,0.01,0
-77.525291,167.163452,324.68,0.38,0.36,2012-05-08,1113,N,n,238.77,5.34,2
-77.527763,167.177155,323.43,0.53,0.42,2012-05-08,1253,N,n,237.57,1.8,2
-77.526108,167.162094,329.92,0.49,0.4,2012-05-09,734,N,n,242.43,6.51,2
-77.526031,167.167877,328.11,0.48,0.4,2012-05-09,914,N,n,244.39,9.75,2
